,auc,f1,acc,bacc,precision,sensitivity,specificity,avgprec,brier,ece,mce,layers
model-positive-15-adamw-lc2-2021-10-05-without-soft-label-slope,0.9049850318885853,0.48803827751196177,0.8054545454545454,0.6609234673955486,0.9622641509433962,0.3269230769230769,0.9949238578680203,0.8276837094671989,0.163252105841312,0.1762766795571555,0.45023059494355144,2
model-positive-15-adamw-lc2-2021-10-05-without-dropout,0.9045132109852922,0.7042253521126761,0.8472727272727273,0.7849798255889626,0.78125,0.6410256410256411,0.9289340101522843,0.8161807988323732,0.10661742562433736,0.021728977560997013,0.039724257257249596,2
model-positive-15-adamw-lc2-2021-10-05-without-soft-label,0.786623063907328,0.012738853503184714,0.7181818181818181,0.5032051282051282,1.0,0.00641025641025641,1.0,0.6591498502503209,0.1960953849813847,0.12013654481280933,0.17769571879635687,2
model-positive-15-adamw-lc2-2021-10-05-without-flood-penalty,0.9096707015488741,0.7353951890034366,0.86,0.8074157230248601,0.7925925925925926,0.6858974358974359,0.9289340101522843,0.8373668752321791,0.10783814682662263,0.06352231060916727,0.11791911332503607,2
model-positive-15-adamw-lc2-2021-10-05-without-lambdas,0.9078484966809841,0.732876712328767,0.8581818181818182,0.8061466874918651,0.7867647058823529,0.6858974358974359,0.9263959390862944,0.834876987867424,0.1083529896635321,0.0660568489540707,0.08779498246999884,2
model-positive-11-adamw-lc3-2021-10-05-without-lambdas,0.9152674736431082,0.7622377622377623,0.8763636363636363,0.8227092281660809,0.8384615384615385,0.6987179487179487,0.9467005076142132,0.8522863860456245,0.10185241961899882,0.06260301328179511,0.14233588858654622,3
model-positive-11-adamw-lc3-2021-10-05-without-soft-label,0.7745834960301965,0.0,0.7163636363636363,0.5,0.0,0.0,1.0,0.6532486077333073,0.20971574116749583,0.14839056470177386,0.2497234050656708,3
model-positive-11-adamw-lc3-2021-10-05-without-flood-penalty,0.9159019914096056,0.7665505226480835,0.8781818181818182,0.8259143563712092,0.8396946564885496,0.7051282051282052,0.9467005076142132,0.8507292939256832,0.10134182595030647,0.06739294568923386,0.1801845550537109,3
model-positive-11-adamw-lc3-2021-10-05-without-soft-label-slope,0.9197090980085904,0.5233644859813085,0.8145454545454546,0.6769491084211896,0.9655172413793104,0.358974358974359,0.9949238578680203,0.8456718665484066,0.15805344502810353,0.16986081841486425,0.4139847755432129,3
model-positive-11-adamw-lc3-2021-10-05-without-wd,0.915625406742158,0.7578947368421053,0.8745454545454545,0.8195040999609527,0.8372093023255814,0.6923076923076923,0.9467005076142132,0.851685662872931,0.10222433707805523,0.06462502191689883,0.1247020634737882,3
model-positive-11-adamw-lc3-2021-10-05-without-dropout,0.909117532213979,0.7087719298245614,0.8490909090909091,0.7881849537940908,0.7829457364341085,0.6474358974358975,0.9289340101522843,0.8229208725012638,0.10358365834854308,0.015919788290153843,0.06780454925462309,3
